loc,title,comp,services_notice,job_type,email,link,recruiter_notice,date_created,data_updated,id,job_desc
 (dublin / pleasanton / livermore),Bookkeeper; Director of Nursing (dublin / pleasanton / livermore),$$$,do NOT contact us with unsolicited services or offers,full-time,pqrdx-5258676936@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5258676936.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:22pm,2015-10-08 1:25pm,post id: 5258676936,"
Bookkeeper: Will handle Accounts Receivable and Accounts Payable. Apply in person at 788 Holmes St., Livermore, CA 94550.

Director of Nursing: Will manage Nursing Department
"
 (petaluma),Transit Abilities Evaluator (petaluma),Depending on education and experience ranges starting from $18.00 per hour,do NOT contact us with unsolicited services or offers,part-time,8szv3-5258681190@job.craigslist.org,http://sfbay.craigslist.org//nby/hea/5258681190.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:25pm,2015-10-09 4:36pm,post id: 5258681190,"
Be part of a team that gives persons with disabilities access to their community through transportation services, allowing them to lead full and meaningful lives. As a transit evaluator, you will be fully trained to assess applicants' abilities to use the public transportation system. 

This is a scheduled part-time position with benefits; Hours will be between M - F depending on availability from 8:00 a.m. to 5:00 p.m. 

ESSENTIAL DUTIES 

You will conduct interviews and functional assessments to determine whether each applicant's disabilities prevent him or her from using the regular public transportation system, and whether each person qualifies for special transportation (paratransit services).

EDUCATION

Must have a degree in one of the following: 
Bachelors in Psychology or related field
BCBA
Physical Therapy, Physical Therapy Assistant, 
Occupational Therapy, Occupational Therapy Assistant  

REQUIRED KNOWLEDGE, SKILLS & ABILITIES 

At least two (2) years of experience working with people with disabilities
Excellent customer service skills
Ability to use observation skills to make good judgments
Excellent documentation skills
Passion for helping people
Excellent organization and time-management skills 
Strong written and oral communication skills
Strong attention to detail
Basic computer proficiency
Ability to multi-task in a fast-paced environment
Ability to work productively without close supervision	
Bilingual in Spanish and English preferred
"
 (San Jose),Personal Care Attendant/Shuttle Driver- San Jose (San Jose),TBD,do NOT contact us with unsolicited services or offers,part-time,5ddxv-5258701099@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5258701099.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:37pm,2015-10-08 1:37pm,post id: 5258701099,"
PERSONAL CARE ATTENDANT/SHUTTLE DRIVER (SAN JOSE AREA)

My Friends Pediatric Day Healthcare Center is a daycare center for medically fragile children. We are committed to providing the highest quality of care to each child. Our center is seeking to hire caring and compassionate caregivers.

We currently have a part-time opening for a Personal Care Attendant/Shuttle Driver for our center in the San Jose area. My Friends seeks positive, cheerful, upbeat people with great driving records and excellent references. This position requires current CPR and First Aid cards. 

The Personal Care Attendant/Shuttle Driver provides assistance with daily living services to our pediatric patients. Duties include driving patients to and from their homes and/or schools, changing diapers, assisting our nurses in various tasks as well as working and playing with the patients. Daily activities vary and provide you the chance to be creative and energetic.

Our centers are very busy. All personal care attendants must be very attentive to the needs of our patients at all times. This part-time position includes some afternoons, evenings and weekends. All Personal Care Attendants are required to work on some weekends. The center is open seven days a week from 6:00 am to 7:00 pm.

If you have always wanted a fulfilling job where you can see day to day effect you have on a child, please fax your resume to (916) 989-8635. We look forward to hearing from you!




"
 (san mateo),$15/hr - Hiring Caregivers & CNAs! NOT CONTRACTORS- Real Employees (san mateo),$15/hr,do NOT contact us with unsolicited services or offers,full-time,cf5r9-5258712935@job.craigslist.org,http://sfbay.craigslist.org//pen/hea/5258712935.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:44pm,2015-10-08 1:57pm,post id: 5258712935,"























"
 (richmond / point / annex),Dental Receptionist (richmond / point / annex),Based on experience,do NOT contact us with unsolicited services or offers,full-time,tdkhd-5258723181@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5258723181.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:50pm,2015-10-08 1:50pm,post id: 5258723181,"
We are a friendly, general dental office in El Cerrito in need of a dental receptionist. Experience is preferred but we may be willing to train the right candidate.We are looking for someone who can work full time on weekdays and on Saturdays and who is fluent in both English and Spanish (required). Job benefits include paid vacation and medical insurance. 

If you are interested the job, please email your resume.
"
 (bernal heights),Mental Health Clinician (bernal heights),Competitive,do NOT contact us with unsolicited services or offers,full-time,z6mpw-5258723809@job.craigslist.org,http://sfbay.craigslist.org//sfc/hea/5258723809.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:50pm,2015-10-08 1:55pm,post id: 5258723809,"
Oakes Children's Center, Inc. is a mental health and educational facility serving emotionally disturbed children and children with autistic spectrum disorders. Our purpose is to promote the children's emotional, psychological and academic development, helping them achieve their highest potential.

The Partnership Program is a joint effort between Oakes and the San Francisco Unified School District. This project utilizes Oakes' clinical expertise in an effort to allow severely emotionally disturbed children to stay in the public school. Oakes clinical staff therapists work with S.E.D./S.L.I. classrooms providing therapy and consultation at the public school site.

Additionally, Oakes has a small outpatient program for children with pervasive developmental delays. Oakes provides socialization groups and outpatient counseling to children from various San Francisco public schools. These activities take place at the main Oakes site. Oakes also provides an onsite Day Treatment Program.

Minimum Qualifications:
• Requires license in Psychology, Social Work, or MFT, or license eligibility, and experience working with children in a psychotherapeutic setting.
• Knowledge of the principles and techniques of individual and family therapy, case management, and clinical social work.
• Ability to apply clinical skills effectively; establish and maintain effective working relationships with others; secure and record accurate and clinically pertinent psycho-social data.
• Ability to work well with school, social, legal and medical systems.
• Knowledge of public schools and public school systems strongly preferred.
• Knowledge of DSM-V-R required.
• Good organizational skills.
• Good computer skills and experience with electronic medical records.
• Demonstrated understanding of child development and mandated reporting laws.
• Demonstrated ability to work effectively with a multicultural client population.
• Bilingual Spanish/English a plus.
• Training and experience with Autistic Spectrum Disorders a plus.

Duties and Responsibilities:
1. Conducts psycho-social assessments and provides psycho-therapy and clinical case management services for children and their families.
2. Performs comprehensive mental health and treatment services to clients including: intake evaluations, assessments, individualized treatment plans, crisis intervention, individual therapy, family therapy, group therapy, treatment planning, collateral, case management, and outreach.
3. Establishes good working relationships with school staff members and outside professionals in order to maintain continuity of care.
4. Coordinates with SFUSD and CBHS Staff for ERMHS Services.
5. Participate as an active member of the treatment team. Provides support and contributes to the creation of a positive and supportive work environment. Establishes and maintains effective working relationships and represents the agency in the school community.
6. Attends pertinent IEP's
7. Insures and monitors that all operations, procedures, interventions and documentation comply with agency, state, and county guidelines and quality assurance standards.
8. Complete all documentation as required by CBHS in a timely manner.
9. Responsible for producing the required number of billable units per month.
10. Regularly reviews clinical interventions and case documentation with supervisor.
11. Participate in staff meetings, trainings, case conferences, and peer review process.
12. Other clinical, administrative, and operational duties as assigned.


*This position description is not intended to be all-inclusive; other duties may be assigned as the program moves through the school year, and some of these described may be modified.

Experience in working with children with emotional and behavioral concerns is a must. Patience, compassion and cultural sensitivity are essential. Oakes Children's Center is a supportive community and succeeds because of its team-oriented approach and love of children. We are looking for someone who is interested in staying with us long-term and becoming a part of the team.

OAKES CHILDREN'S CENTER IS AN EQUAL OPPORTUNITY EMPLOYER. BILINGUAL/BICULTURAL CANDIDATES ARE ENCOURAGED TO APPLY.

Apply at:

"
 (foster city),Medical Assistant Needed! (foster city),"DOE, Full benefits offered",do NOT contact us with unsolicited services or offers,full-time,b2bqd-5258724407@job.craigslist.org,http://sfbay.craigslist.org//pen/hea/5258724407.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:51pm,2015-10-08 1:51pm,post id: 5258724407,"
Help make a difference! Millions of couples suffer from infertility, the inability to achieve pregnancy after years of trying to conceive. But there is hope: We can often help an infertile couple start or grow a family. 

Busy infertility clinic in the bay area is seeking an experienced, Medical Assistant (Full-time, 40 hours/week) to join our team in our East Bay office locations. This special candidate will present with at least 2 years of medical office experience in a busy multiple doctor healthcare setting. Candidate must demonstrate multi-tasking skills in a high volume practice with a commitment to teamwork. Must have the ability to manage multiple priorities and demands, on time and in a calm manner. 

Great communication skills, positive, and personable attitude are essential for success in this challenging, yet rewarding position, and with the potential for growth!

Responsibilities include: 

Administrative support to Nursing staff including:
-Obtaining medical records from outside facilities
-Obtaining lab results and entering into EMR
-Obtaining pre-authorization for fertility meds
-Ordering supplies
-Tracking/allocation of invoices
-Witnessing/scanning of consents
-Calling/emailing patient instructions

Back Office Support including
-Obtaining patient vital signs and current medication list 
-Rooming patients
-Administering injections
-Assisting providers with procedures, and other duties as needed
-Calling prescriptions to pharmacy under physician direction

REQUIREMENTS:
* High School Diploma
* Completion of an accredited program for medical assistants with certificate
* 2 years medical office experience in a healthcare setting, Ob-Gyn preferred.
* CPR certification must be current
* Excellent internal and external customer service
* Ability to work with diverse patient population.
* Ability to travel between local offices
* Able to work scheduled weekends
* Team player
* Experience with computerized scheduling, electronic medical record
* Phlebotomy experience preferred
* Spanish speaking a PLUS

Full time, benefited position
EOE

To learn more about our practice please visit our website at www.rscbayarea.com 
"
 (palo alto),CNA's needed for Morning shifts and possible evening shifts (palo alto),Competitive Pay,do NOT contact us with unsolicited services or offers,part-time,Lpejooh25@gmail.com,http://sfbay.craigslist.org//pen/hea/5258721058.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:49pm,2015-10-08 1:49pm,post id: 5258721058,"







"
 (walnut creek),CAREGIVERS - Exciting Homecare Position (walnut creek),Competitive Hourly Rates and Salary based on experience and references.,do NOT contact us with unsolicited services or offers,full-time,8df9r-5258734485@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5258734485.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:57pm,2015-10-08 2:39pm,post id: 5258734485,"
We are currently looking for caring, kind, dependable and personable caregivers and/or CNA's to provide non-medical in home care to the elderly. As a caregiver, you will provide the following services:
•	Caring companionship and conversation
•	Transportation (errands, appointments, etc.)
•	Meal preparation
•	Medication reminders
•	Light housekeeping
•	Personal care assistance (bathing, dressing, grooming)- *qualified individuals
•	Assisting clients with Alzheimer's & Dementia - *qualified individuals
•	Incontinent care and toileting
•	Lifts and transfers

AMADA Senior Care has established an excellent reputation for quality because of our reputation for having outstanding caregivers. Our caregivers are a valuable asset to the AMADA team and make a difference in the lives of our elderly clients every day. If you are compassionate and like working with the elderly and would enjoy the satisfaction of helping them remain independently while living at home, a caregiving opportunity may be for you!
We offer flexible work schedules that can be tailored to fit your lifestyle, including days, evenings, night shifts and weekend shifts.
We offer competitive pay, training, bonuses, referral bonus program, residual income & 401k and Medical Benefits.
You may also download an application online at www.AmadaSeniorCare.com and click on the ""Our Caregivers"" tab. Once you have the application filled out you can email it or fax your resume to 866-252-2001.	.
"
 (brentwood / oakley),Full time SLP and SLPA needed! (brentwood / oakley),Competitive,do NOT contact us with unsolicited services or offers,full-time,ngxt2-5258743726@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5258743726.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 2:02pm,2015-10-08 2:02pm,post id: 5258743726,"
WORDPLAY Therapy Center is looking for an SLP and an SLPA to join our family.

We are looking to immediately fill two full time positions in our Brentwood clinic. If you are looking for a friendly, professional and comfortable work environment where you can truly make a difference in the lives of children and their families then look no further! 
We provide:

â€¢	Each Therapist with their own private office
â€¢	A large selection of therapy materials
â€¢	Highly ethical work environment 
â€¢	Competitive pay
â€¢	Full-time
â€¢	Benefits
â€¢	Opportunities for creativity and growth in an expanding business
â€¢	A supportive, fun work environment and ability to work with some great children and families!!! 


SLP position must have:

â€¢	Masters degree in Speech-Language Pathology 
â€¢	Certificate of Clinical Competency 
â€¢	Current California SLP license
â€¢	Minimum of 3 years of experience preferred
â€¢	Ability to pass a state and federal background check
â€¢	Friendly, positive and team oriented attitude
â€¢	A strong desire to make a difference in children's lives

SLPA position must have: 

â€¢	Bachelors degree preferred but not required
â€¢	Current California SLPA license
â€¢	Minimum of 1 year experience preferred
â€¢	Ability to pass a state and federal background check
â€¢	Friendly, positive and team oriented attitude
â€¢	A strong desire to make a difference in children's lives

Please NO PHONE CALLS OR DROP INS, email resume by responding to this ad.
"
 (brentwood / oakley),Physical Therapist (brentwood / oakley),"Competitive salary, benefits, and continuing education.",do NOT contact us with unsolicited services or offers,full-time,6f2xn-5258738734@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5258738734.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 1:59pm,2015-10-08 1:59pm,post id: 5258738734,"
Inviting a Physical Therapist who hears a calling to be a valuable part of Outpatient Sports / Ortho PT. At Kabat & Associates Physical Therapy, our team believes that all patients have an untapped potential to perform better, gain a level of control over their physical limitations and find a better quality of life. We are seeking a PT team member who wants to let their valuable personal experiences, progressing skill set, continuing education, and ability to inspire contribute to the success of patient experiences in our practice. Our team of therapists share a common interest in considering and treating both the musculoskeletal and neurological dysfunctions that accompany most injuries. Among many techniques used, we strive to provide an education to each patient that leaves an impact, apply skilled and precise manual therapy, neuromuscular re-education, and specifically progressed exercise regime to create a meaningful experience during a pivotal moment in our patients lives. All clinicians on our team are both students and teachers to each other as we all are capable of contributing to valuable learning experiences through case study conversations, Wednesday ""Lunch and Learn"" with technique and review, and sharing of continuing education experiences. Mentoring from senior PTs is provided and encouraged. We are located in the Brentwood / Antioch area with plans in the near future for expansion to a second site. If this career experience interests you, we look forward to having a conversation. We seek a full time (preferred) or part time with competitive salary (based on comfortable patient load), benefits and continuing education. 
Fax Resume to: 925-522-8008
Call Sam at: 925-522-8000
"
 (san jose downtown),School Based Mental Health Clinician (san jose downtown),Per case rate depending on experience,do NOT contact us with unsolicited services or offers,full-time,6hrxh-5258755965@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5258755965.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 2:10pm,2015-10-08 2:10pm,post id: 5258755965,"
The Miri Center is a non public agency that provides educationally related mental health services and school based counseling services. We are looking for clinicians in the San Jose area for the 2014-15 school year.

- The School Based Therapist will provide individual counseling to students at multiple schools within the San Jose area as per their IEP services. This position requires an individual who has excellent time management skills and the ability to work independently as there is no supervisor on site. The therapist will set his or her own schedule during school hours and be paid at a per case rate with a caseload of approximately 20. The clinician must be either a licensed clinician (MFT, LCSW) or a registered MFTI or ASW, and must already have their masters or doctorate. Supervision is provided by a Licensed Clinician (supervision hours are unpaid) for MFTIs and ASWs. Bilingual applicants(Spanish/English) are highly desired

If you are interested please EMAIL your resume and a cover letter with your cover letter in the email text. Please do not call, we will contact all qualified applicants IMMEDIATELY.
"
 (north beach / telegraph hill),Medical Receptionist Needed (north beach / telegraph hill),Hourly with quarterly bonuses,do NOT contact us with unsolicited services or offers,full-time,vncmw-5258765803@job.craigslist.org,http://sfbay.craigslist.org//sfc/hea/5258765803.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-08 2:16pm,2015-10-08 2:16pm,post id: 5258765803,"
We are looking for a full time medical receptionist for our very busy OBGYN office. Candidate must be mature, professional, able to multi-task, and possess a positive attitude. Working as a team member with strong work ethic is a must. 

Duties include but are not limited to:
Sitting at front desk: checking in and out patients, obtaining insurance information and demographics, collecting co-payments and account balances, setting up and straightening up waiting area, and obtaining urine specimens. 

Sitting in Call Center: answering multiple phone lines, directing calls, scheduling appointments, registering patients, data entry into EMR, knowledge of insurances. 

This is a full time and benefited position which requires a high level of customer service, excellent communication skills, and proficiency with computers


If you feel you meet these requirements, please e-mail your cover letter and resume. 
"
 (fremont / union city / newark),MEDICAL RECEPTIONIST/ASSISTANT/SCRIBE (fremont / union city / newark),based on experience,do NOT contact us with unsolicited services or offers,full-time,v78cd-5257313831@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5257313831.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 3:45pm,2015-10-07 3:45pm,post id: 5257313831,"
Specialty physician practice looking for a talented full-time Medical Receptionist/Assistant/Scribe to join our medical office team. Candidate should be independent, have excellent interpersonal skills and be dedicated to providing excellent patient care. The ideal candidate must have the ability to interact with our physician, patients and co-workers in a courteous, friendly and professional manner. Must be comfortable multi-tasking, operate as part of a team and must have the desire to help wherever needed.

Requirements: 
- M-F; 40-hour week
- Team oriented approach
- Excellent interpersonal skills
- Specialty Practice (cardiology, neurology, etc) experience highly preferred 
- Second language a plus (Spanish, Cantonese, Mandarin) 
- 1+ year experience in a physician office REQUIRED
- 1+ year experience with EMR REQUIRED (eClinical, Epic, etc)
- Strong Computer skills (online eligibility, insurance websites, MS office)
- Scribing experience is a plus
- Billing knowledge is a plus

Duties and responsibilities, but not limited to, are: 
- Obtain Prior Authorizations for medications, procedures and office visits
- Check for Insurance eligibility
- Room patients, obtain vital signs, document their current symptoms and medical history, medicine reconciling
- Enter progress notes (as Scribe) in EMR under guidance of physician
- Prepare patients for injections and procedures
- Prepare next day charts (paper and EMR), filing/scanning charts
- Prepare referrals to other facilities
- Obtain medical records from other physicians
- Enter reports for lab, radiology and procedures in EMR
- Answer multi-line phone calls
- Scheduling appointments; Appointment confirmations
- Registering New Patients; Check In / Check out patients; Copay/Payment collection 

If you are an interested individual who meets the above requirements, please email your resume, cover letter and salary history.
"
 (fremont / union city / newark),Front Desk/Dental Receptionist (fremont / union city / newark),based on experience,do NOT contact us with unsolicited services or offers,full-time,ndzkg-5257315025@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5257315025.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 3:46pm,2015-10-07 3:46pm,post id: 5257315025,"
Our caring and friendly dental office is looking for an individual to be a part of our team!

We are looking for someone who is enthusiastic, professional, self-motivated, and 
goal oriented to help provide an exceptional dental care in a family oriented practice.

Our ideal candidate must have the following:
- Excellent verbal communication skills.
- Organized and detailed.
- Strong math skills.
- Experience in the dental field preferred.

Full time 4 days a week. If you are interested in joining our team please send us your resume.
"
,"Xray, CT, MRI, Ultrasound, Mammographer Technologist",DOE,do NOT contact us with unsolicited services or offers,contract,rtmwk-5257318699@job.craigslist.org,http://sfbay.craigslist.org//sby/hea/5257318699.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 3:48pm,2015-10-07 3:48pm,post id: 5257318699,"
Kenfoster Medical Inc. is a Radiology Staffing company that has been providing quality radiology staffing services since 2006 in the San Francisco Bay Area. Currently, we have immediate opportunities for x-ray technologist, mammographers, MRI technologist, ultrasound technologists and CT techs in various imaging clinics and hospitals in Northern California. We are seeking qualified candidates to join our team. We offer per diem hours which allows you to have a flexible schedule. For Radiologic Technologist, you must have a current CRT license, fluoroscopy permit, TB clearance within 1 yr. and CPR card. For all other technologist- must have valid professional licenses, TB clearance within 1 year, and valid CPR card. 1 year experience is preferred but not required.

You can submit your resume by fax (888)-306-7838 or by simply replying to this post. We look forward to hearing from you!

X-ray Technologist Opportunity: Seeking X-ray technologist for possible full-time opportunity in the South Bay region. Contact immediately if interested.
"
 (danville / san ramon),Nurses - RN or LVN (danville / san ramon),DOE,do NOT contact us with unsolicited services or offers,part-time,sssqq-5257328809@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5257328809.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 3:55pm,2015-10-07 3:55pm,post id: 5257328809,"
NURSES (RN/LVN) (Part Time & On Call)
Job Description:
The Nurse consults with the physician and psychiatrist to ensure appropriate medical interventions. The Nurse meets with each resident, completes a daily assessment, and administers all prescription medication. The Nurse is responsible to carry out any orders received from the physician and psychiatrist, and reports information to the Program Director and Facility Administrator as needed.
Responsibilities Include:
• Completes H&P upon admission for each resident
• Develops and initiates the Nursing Care Plan
• Implements Physician orders
• Is available for consultation after hours and returns telephone calls/pages within ten minute time frame
• Dispenses medication as prescribed
• Counts narcotics each day, logs appropriately
• Meets regularly with medical staff to discuss resident treatment
• Provides assessment of medical problems as needed
• Performs primary first aid and determines need for physician notification
Qualifications Include:
• Must have considerable knowledge of nursing principles and practice
• Must demonstrate knowledge of Axis I diagnosis and symptoms (and specifically in adolescents)
• Must demonstrate knowledge of medications and their proper application and use
• Able to take vital signs
• Able to provide First Aid
• RN/LVN License required
• Must be licensed in California

Center for Discovery is an Equal Opportunity Employer
"
,ONCOLOGY NURSE PRACTITIONER,DOE,do NOT contact us with unsolicited services or offers,full-time,wtcx7-5257329248@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5257329248.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 3:56pm,2015-10-07 3:56pm,post id: 5257329248,"
ONCOLOGY NURSE PRACTITIONER -- Excellent Opportunity!

Diablo Valley Oncology & Hematology Medical Group, Inc. (DVO) is a private multi-specialty practice comprised of seven medical oncologists, four radiation oncologists and six urologists who provide caring, patient-focused services in our facility - California Cancer & Research Institute - THE EAST BAY'S PREMIERE CANCER CENTER featuring state-of-the-art medical oncology, radiation oncology, imaging services, clinical research and supportive care services in one convenient location to best serve the people of our community. We are located at 400 Taylor Blvd, Suite 202 in Pleasant Hill, California.

We have an immediate opening for a Registered Nurse Practitioner who is compassionate, has excellent communication skills and preferably 2-5 years clinical experience with direct patient care. A master's degree in nursing, current California state license and current DEA registration are required.
We offer an excellent work environment, comprehensive benefits package including 401(k) and competitive salary commensurate with experience. DVO has been named ""Top Work Place in the Bay Area"" for five years running. 
If you are looking for an exceptional opportunity to provide care, treatment and support to enhance patients' quality of life, please reply to this post with your resume and salary history to our HR Manager, Lynnette Johnson. 
We look forward to hearing from qualified candidates. This position will be filled as soon as possible. Thank You!
Please visit our website: www.dvohmg.com
"
 (petaluma),LVN/RN (petaluma),To be discussed during the interview.,do NOT contact us with unsolicited services or offers,part-time,oaksdsd@sonic.net,http://sfbay.craigslist.org//nby/hea/5257331037.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 3:57pm,2015-10-07 3:57pm,post id: 5257331037,"
Oak Knoll Convalescent Center, Inc. is looking for a dependable, organized, compassionate and dedicated LVN or RN to join our outstanding team. The Oaks is a 59 bed facility specializing in Alzheimer and Dementia Care. 

Responsibilities: Provide nursing care, within their scope of practice, to our residents which includes: assessing resident needs, development of individual care plans, administering nursing care, evaluating nursing care, and supervising Certified Nursing Assistants (CNAs) and other personnel in the delivery of nursing care.

Qualifications:
*A current, active license to practice as a Registered Nurse (RN) in the State of California
*Current CPR certification 
*Positive attitude toward the elderly

Available Positions:
2 Part-Time Noc Shift (11:00 pm - 7:30 am)


Please stop by The Oaks at 450 Hayes Lane, Petaluma CA to complete an application, email your resume to oaksdsd@sonic.net and/or feel free to call Kelly at 707-778-8686 X224.
"
 (santa cruz),RN Supervisors - Acute Psych Facility - On Call (santa cruz),negotiable,do NOT contact us with unsolicited services or offers,full-time,sdbhc-5257348907@job.craigslist.org,http://sfbay.craigslist.org//scz/hea/5257348907.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-07 4:10pm,2015-10-07 4:10pm,post id: 5257348907,"
To learn more and to apply, please visit www.telecarecorp.com/careers, job ID: 20133097

Founded in 1965, Telecare is a rapidly growing mental health care company dedicated to making a difference for our clients, the community, and our employees. We offer an array of mental health services to adults with serious mental illness. We partner with public sector entities and behavioral health organizations, and have over 80 programs and over 2,500 employees across the country. And we're growing all the time! When you work at Telecare, you help to empower thousands of individuals every day in their journeys of recovery.

The Santa Cruz County Crisis Stabilization Program (CSP) was created for people who are experiencing a mental health crisis and need immediate treatment and support. The purpose of the CSP is to help people find relief from distress, maintain stability in their lives, avoid inpatient hospitalization wherever possible, and transition back to their lives with follow-up treatment resources and community supports in place. The CSP provides crisis services 24-hours a day, 7 days per week. It accepts clients (all ages) on a voluntary or involuntary basis (under 5150). CSP clients can stay for up to 23 hours in this setting, where they will receive a comprehensive assessment, along with intensive treatment and support. The program can serve up to 3-7 adults and 1 child at a time.

The CSP was designed to be client and family friendly, offering recovery-focused services; a safe, respectful, welcoming environment; access to a multi-disciplinary treatment team; psychiatry and nursing support; and medication services and support.
POSITION SUMMARY
Supervises and performs activities that are carried out by professional and paraprofessional nursing personnel using Psychiatric Rehabilitation concepts and Recovery Philosophy. This involves hiring, evaluating, scheduling, assigning duties, and overall coordination of all care provided clients with a focus on maintaining the highest quality possible of services rendered.

QUALIFICATIONS 
-One year of experience in an inpatient psychiatric setting is required
-Licensure as a registered nurse in the State of California is required
-A valid CPR certificate is also required
-A BS or BA degree is preferred
-Necessary skills include the ability to work with clients with multiple disabilities, conduct an accurate needs assessment and a willingness to participate as a team member in a multidisciplinary environment
-The ability to supervise professional and paraprofessional staff, including making assignments and assisting with counseling and evaluations is crucial
-Applicant may be finger printed and receive clearance from Criminal Justice Department.

Telecare Corporation is fully committed to a strong equal opportunity program. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, age, genetic information, physical or mental disability status, creed, national origin, protected veteran status, sexual orientation or other basis protected by applicable antidiscrimination laws.

TMJ

EOE AA M/F/V/Disability
"
 (napa county),RDA/DENTAL ASSISTANT NEEDED PART-TIME TO FULL-TIME (NAPA) (napa county),BASED ON EXPERIENCE,do NOT contact us with unsolicited services or offers,part-time,wgrcw-5255888564@job.craigslist.org,http://sfbay.craigslist.org//nby/hea/5255888564.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-06 6:16pm,2015-10-06 6:16pm,post id: 5255888564,"
Are you looking for new challenges and opportunities for growth?

Are you looking to join a top-notch dental team?

We are a well-established dental office specializing in cosmetic dentistry, offers cutting edge treatments and products to our patients. Our practice values Continuing Education and our focus is the on the connection between dentistry and overall health. We're committed to the success of our business, and seek an energetic RDA with a ""get it done"" attitude, one who is willing to cross-train, come in early, or stay late as needed. 

This position is part time with opportunities to expand to full time. 
"
 (pittsburg / antioch),Dental Assistant RDA & Dental Front Desk (pittsburg / antioch),Competitive Salary + Benefits!,do NOT contact us with unsolicited services or offers,part-time,8rjkd-5255904051@job.craigslist.org,http://sfbay.craigslist.org//eby/hea/5255904051.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-06 6:29pm,2015-10-06 6:29pm,post id: 5255904051,"
Registered Dental Assistant RDA

>Great attitude
>Love working with people
>Seeking long term 
>Team player
>Independent and take initiative

Dental Front Desk

>1 year experience in dental field preferred
>Excellent social skills
>Works well under pressure
>Financial arrangements
>Treatment planning

We offer full benefits including Excellent salary, Paid Time off, Paid Holidays, 401k Retirement Savings Plan

To be considered: Email your resume, salary requirements, and references. 
We look forward to hearing from you!
"
 (burlingame),Physical Therapist for Orthopedic and Sports Med. Clinic (burlingame),Salary commensurate with experience,do NOT contact us with unsolicited services or offers,full-time,jobs@aerophysicaltherapy.com,http://sfbay.craigslist.org//pen/hea/5256028828.html,"Principals only. Recruiters, please don't contact this job poster.",2015-10-06 8:38pm,2015-10-06 8:38pm,post id: 5256028828,"
AERO Physical Therapy and Sports Medicine is seeking a full-time physical therapist to join our established orthopedic company. We are a physical therapist-owned private practice with patient loads that include orthopedics, athletes, and post-operative care. 

Candidates will possess strong skills in manual therapy, therapeutic exercise, and patient management. New graduates committed to learning and growing are encouraged to apply. 
Salary is commensurate with experience. Medical benefits are included. Generous continued education allotment. 

AERO Physical Therapy and Sports Medicine was established in January 2008 in Millbrae, CA by two physical therapist. In our growth, we have expanded to two facilities in Burlingame and San Mateo. As Mid-peninsula specialists, we are a professional clinic dedicated to furthering the field of physical therapy by providing excellent care to our patients and effectively communicating with our Physicians. 

For more information, please visit our website at www.AeroPhysicalTherapy.com 
Candidates should E-mail a resume and cover letter . No faxes please
"
